method,dataset,r,lam,val_rmse,seconds
"Ours (numpy, r x lambda)",ml-1m,3,2.0,0.8893,279.3
"Ours (numpy, r x lambda)",ml-1m,4,0.0,1.1169,280.8
"Ours (numpy, r x lambda)",ml-1m,4,0.0001,1.1169,279.3
"Ours (numpy, r x lambda)",ml-1m,4,0.0005,1.1169,278.3
"Ours (numpy, r x lambda)",ml-1m,4,0.001,1.1168,278.4
"Ours (numpy, r x lambda)",ml-1m,4,0.005,1.1166,273.8
"Ours (numpy, r x lambda)",ml-1m,4,0.01,1.116,279.0
"Ours (numpy, r x lambda)",ml-1m,4,0.02,1.1136,278.6
"Ours (numpy, r x lambda)",ml-1m,4,0.03,1.108,275.7
"Ours (numpy, r x lambda)",ml-1m,4,0.04,1.0965,273.3
"Ours (numpy, r x lambda)",ml-1m,4,0.045,1.088,276.6
"Ours (numpy, r x lambda)",ml-1m,4,0.05,1.0783,278.7
"Ours (numpy, r x lambda)",ml-1m,4,0.06,1.0597,278.6
"Ours (numpy, r x lambda)",ml-1m,4,0.07,1.0451,278.5
"Ours (numpy, r x lambda)",ml-1m,4,0.08,1.0329,278.7
"Ours (numpy, r x lambda)",ml-1m,4,0.09,1.0215,282.0
"Ours (numpy, r x lambda)",ml-1m,4,0.1,1.0094,273.6
"Ours (numpy, r x lambda)",ml-1m,4,0.12,0.9829,279.1
"Ours (numpy, r x lambda)",ml-1m,4,0.15,0.9501,280.3
"Ours (numpy, r x lambda)",ml-1m,4,0.2,0.923,279.0
"Ours (numpy, r x lambda)",ml-1m,4,0.3,0.9028,279.5
"Ours (numpy, r x lambda)",ml-1m,4,0.4,0.8915,278.3
"Ours (numpy, r x lambda)",ml-1m,4,0.5,0.8853,279.0
"Ours (numpy, r x lambda)",ml-1m,4,0.6,0.8823,280.2
"Ours (numpy, r x lambda)",ml-1m,4,0.7,0.8809,267.8
"Ours (numpy, r x lambda)",ml-1m,4,0.8,0.8804,275.0
"Ours (numpy, r x lambda)",ml-1m,4,0.9,0.8803,277.3
"Ours (numpy, r x lambda)",ml-1m,4,1.0,0.8805,278.8
"Ours (numpy, r x lambda)",ml-1m,4,1.2,0.8813,279.1
"Ours (numpy, r x lambda)",ml-1m,4,1.4,0.8828,277.6
"Ours (numpy, r x lambda)",ml-1m,4,1.6,0.8843,278.8
"Ours (numpy, r x lambda)",ml-1m,4,1.8,0.8861,277.1
"Ours (numpy, r x lambda)",ml-1m,4,2.0,0.8877,278.1
"Ours (numpy, r x lambda)",ml-1m,5,0.0,1.1162,278.7
"Ours (numpy, r x lambda)",ml-1m,5,0.0001,1.1162,282.7
"Ours (numpy, r x lambda)",ml-1m,5,0.0005,1.1162,271.3
"Ours (numpy, r x lambda)",ml-1m,5,0.001,1.1162,266.9
"Ours (numpy, r x lambda)",ml-1m,5,0.005,1.1158,267.5
"Ours (numpy, r x lambda)",ml-1m,5,0.01,1.1151,266.9
"Ours (numpy, r x lambda)",ml-1m,5,0.02,1.1123,266.9
"Ours (numpy, r x lambda)",ml-1m,5,0.03,1.1062,273.0
"Ours (numpy, r x lambda)",ml-1m,5,0.04,1.0941,275.4
"Ours (numpy, r x lambda)",ml-1m,5,0.045,1.085,282.1
"Ours (numpy, r x lambda)",ml-1m,5,0.05,1.074,279.7
"Ours (numpy, r x lambda)",ml-1m,5,0.06,1.0501,279.5
"Ours (numpy, r x lambda)",ml-1m,5,0.07,1.0281,280.0
"Ours (numpy, r x lambda)",ml-1m,5,0.08,1.0083,275.6
"Ours (numpy, r x lambda)",ml-1m,5,0.09,0.9904,275.4
"Ours (numpy, r x lambda)",ml-1m,5,0.1,0.9749,281.4
"Ours (numpy, r x lambda)",ml-1m,5,0.12,0.9509,278.0
"Ours (numpy, r x lambda)",ml-1m,5,0.15,0.9276,277.9
"Ours (numpy, r x lambda)",ml-1m,5,0.2,0.9053,280.3
"Ours (numpy, r x lambda)",ml-1m,5,0.3,0.8856,273.9
"Ours (numpy, r x lambda)",ml-1m,5,0.4,0.878,281.3
"Ours (numpy, r x lambda)",ml-1m,5,0.5,0.8747,282.9
"Ours (numpy, r x lambda)",ml-1m,5,0.6,0.8733,279.3
"Ours (numpy, r x lambda)",ml-1m,5,0.7,0.8729,279.5
"Ours (numpy, r x lambda)",ml-1m,5,0.8,0.8731,278.7
"Ours (numpy, r x lambda)",ml-1m,5,0.9,0.8736,268.1
"Ours (numpy, r x lambda)",ml-1m,5,1.0,0.8743,264.8
"Ours (numpy, r x lambda)",ml-1m,5,1.2,0.8757,265.0
"Ours (numpy, r x lambda)",ml-1m,5,1.4,0.8772,264.9
"Ours (numpy, r x lambda)",ml-1m,5,1.6,0.8788,264.5
"Ours (numpy, r x lambda)",ml-1m,5,1.8,0.8807,264.6
"Ours (numpy, r x lambda)",ml-1m,5,2.0,0.8827,264.6
"Ours (numpy, r x lambda)",ml-1m,10,0.0,1.1166,267.3
"Ours (numpy, r x lambda)",ml-1m,10,0.0001,1.1166,266.7
"Ours (numpy, r x lambda)",ml-1m,10,0.0005,1.1166,266.8
"Ours (numpy, r x lambda)",ml-1m,10,0.001,1.1165,266.9
"Ours (numpy, r x lambda)",ml-1m,10,0.005,1.1161,266.9
