method,dataset,r,lam,val_rmse,seconds
"Lasso MF (numpy, r x lambda)",ml-1m,10,0.4,1.1177,281.7
"Lasso MF (numpy, r x lambda)",ml-1m,10,0.42,1.1177,282.6
"Lasso MF (numpy, r x lambda)",ml-1m,10,0.44,1.1177,282.8
"Lasso MF (numpy, r x lambda)",ml-1m,10,0.46,1.1177,283.6
"Lasso MF (numpy, r x lambda)",ml-1m,10,0.48,1.1177,284.2
"Lasso MF (numpy, r x lambda)",ml-1m,10,0.5,1.1177,287.9
"Lasso MF (numpy, r x lambda)",ml-1m,20,0.0,0.916,285.3
"Lasso MF (numpy, r x lambda)",ml-1m,20,0.001,0.9115,287.6
"Lasso MF (numpy, r x lambda)",ml-1m,20,0.01,0.8718,288.0
"Lasso MF (numpy, r x lambda)",ml-1m,20,0.1,1.1177,287.1
"Lasso MF (numpy, r x lambda)",ml-1m,20,0.2,1.1177,288.1
"Lasso MF (numpy, r x lambda)",ml-1m,20,0.3,1.1177,287.9
"Lasso MF (numpy, r x lambda)",ml-1m,20,0.35,1.1177,285.7
"Lasso MF (numpy, r x lambda)",ml-1m,20,0.42,1.1177,284.5
"Lasso MF (numpy, r x lambda)",ml-1m,20,0.4,1.1177,290.5
"Lasso MF (numpy, r x lambda)",ml-1m,20,0.44,1.1177,285.7
"Lasso MF (numpy, r x lambda)",ml-1m,20,0.46,1.1177,285.7
"Lasso MF (numpy, r x lambda)",ml-1m,20,0.48,1.1177,289.6
"Lasso MF (numpy, r x lambda)",ml-1m,20,0.5,1.1177,280.7
"Lasso MF (numpy, r x lambda)",ml-1m,50,0.001,0.9934,291.3
"Lasso MF (numpy, r x lambda)",ml-1m,50,0.0,1.0109,295.6
"Lasso MF (numpy, r x lambda)",ml-1m,50,0.01,0.8774,293.0
"Lasso MF (numpy, r x lambda)",ml-1m,50,0.1,1.1177,290.5
"Lasso MF (numpy, r x lambda)",ml-1m,50,0.2,1.1177,299.0
"Lasso MF (numpy, r x lambda)",ml-1m,50,0.3,1.1177,294.4
"Lasso MF (numpy, r x lambda)",ml-1m,50,0.35,1.1177,295.6
"Lasso MF (numpy, r x lambda)",ml-1m,50,0.4,1.1177,294.6
"Lasso MF (numpy, r x lambda)",ml-1m,50,0.42,1.1177,291.9
"Lasso MF (numpy, r x lambda)",ml-1m,50,0.44,1.1177,295.3
"Lasso MF (numpy, r x lambda)",ml-1m,50,0.46,1.1177,298.4
"Lasso MF (numpy, r x lambda)",ml-1m,50,0.48,1.1177,293.9
"Lasso MF (numpy, r x lambda)",ml-1m,50,0.5,1.1177,293.4
"Lasso MF (numpy, r x lambda)",ml-1m,100,0.0,1.0904,306.6
"Lasso MF (numpy, r x lambda)",ml-1m,100,0.001,1.0498,306.4
"Lasso MF (numpy, r x lambda)",ml-1m,100,0.01,0.8769,307.7
"Lasso MF (numpy, r x lambda)",ml-1m,100,0.1,1.1177,306.7
"Lasso MF (numpy, r x lambda)",ml-1m,100,0.2,1.1177,303.4
"Lasso MF (numpy, r x lambda)",ml-1m,100,0.3,1.1177,303.5
"Lasso MF (numpy, r x lambda)",ml-1m,100,0.35,1.1177,305.7
"Lasso MF (numpy, r x lambda)",ml-1m,100,0.4,1.1177,307.9
"Lasso MF (numpy, r x lambda)",ml-1m,100,0.42,1.1177,304.9
"Lasso MF (numpy, r x lambda)",ml-1m,100,0.44,1.1177,300.8
"Lasso MF (numpy, r x lambda)",ml-1m,100,0.46,1.1177,278.9
"Lasso MF (numpy, r x lambda)",ml-1m,100,0.48,1.1177,279.4
"Lasso MF (numpy, r x lambda)",ml-1m,100,0.5,1.1177,277.0
"Lasso MF (numpy, r x lambda)",douban,1,0.01,0.8167,404.0
"Lasso MF (numpy, r x lambda)",douban,1,0.0,0.8172,411.9
"Lasso MF (numpy, r x lambda)",douban,1,0.2,0.9837,413.9
"Lasso MF (numpy, r x lambda)",douban,1,0.1,0.9837,415.1
"Lasso MF (numpy, r x lambda)",douban,1,0.3,0.9837,414.4
"Lasso MF (numpy, r x lambda)",douban,1,0.001,0.8171,447.6
"Lasso MF (numpy, r x lambda)",douban,1,0.35,0.9837,414.6
"Lasso MF (numpy, r x lambda)",douban,1,0.44,0.9837,409.6
"Lasso MF (numpy, r x lambda)",douban,1,0.4,0.9837,416.0
"Lasso MF (numpy, r x lambda)",douban,1,0.46,0.9837,418.7
"Lasso MF (numpy, r x lambda)",douban,1,0.42,0.9837,420.8
"Lasso MF (numpy, r x lambda)",douban,1,0.48,0.9837,455.1
"Lasso MF (numpy, r x lambda)",douban,2,0.0,0.7732,352.6
"Lasso MF (numpy, r x lambda)",douban,2,0.001,0.7731,356.3
"Lasso MF (numpy, r x lambda)",douban,2,0.01,0.7776,357.0
