method,dataset,r,lam,val_rmse,seconds
"Ours (numpy, r x lambda)",ml-100k,1,0.0,1.13,71.7
"Ours (numpy, r x lambda)",ml-100k,1,0.01,1.13,72.5
"Ours (numpy, r x lambda)",ml-100k,1,0.0001,1.13,79.0
"Ours (numpy, r x lambda)",ml-100k,1,0.005,1.13,76.3
"Ours (numpy, r x lambda)",ml-100k,1,0.0005,1.13,79.4
"Ours (numpy, r x lambda)",ml-100k,1,0.001,1.13,80.4
"Ours (numpy, r x lambda)",ml-100k,1,0.02,1.1298,66.9
"Ours (numpy, r x lambda)",ml-100k,1,0.03,1.1297,67.2
"Ours (numpy, r x lambda)",ml-100k,1,0.04,1.1295,66.4
"Ours (numpy, r x lambda)",ml-100k,1,0.05,1.1293,68.2
"Ours (numpy, r x lambda)",ml-100k,1,0.045,1.1294,69.2
"Ours (numpy, r x lambda)",ml-100k,1,0.06,1.129,67.6
"Ours (numpy, r x lambda)",ml-100k,1,0.07,1.1287,66.3
"Ours (numpy, r x lambda)",ml-100k,1,0.08,1.1283,68.6
"Ours (numpy, r x lambda)",ml-100k,1,0.15,1.1229,65.7
"Ours (numpy, r x lambda)",ml-100k,1,0.09,1.1279,69.6
"Ours (numpy, r x lambda)",ml-100k,1,0.12,1.126,69.1
"Ours (numpy, r x lambda)",ml-100k,1,0.1,1.1274,70.0
"Ours (numpy, r x lambda)",ml-100k,1,0.2,1.1139,66.8
"Ours (numpy, r x lambda)",ml-100k,1,0.4,1.0761,69.6
"Ours (numpy, r x lambda)",ml-100k,1,0.3,1.0898,71.0
"Ours (numpy, r x lambda)",ml-100k,1,0.5,1.0703,71.3
"Ours (numpy, r x lambda)",ml-100k,1,0.6,1.0684,69.2
"Ours (numpy, r x lambda)",ml-100k,1,0.7,1.0687,71.5
"Ours (numpy, r x lambda)",ml-100k,1,0.8,1.0695,67.0
"Ours (numpy, r x lambda)",ml-100k,1,0.9,1.0659,68.6
"Ours (numpy, r x lambda)",ml-100k,1,1.0,1.0365,68.8
"Ours (numpy, r x lambda)",ml-100k,1,1.4,1.0105,66.8
"Ours (numpy, r x lambda)",ml-100k,1,1.2,1.0114,69.3
"Ours (numpy, r x lambda)",ml-100k,1,1.6,1.0257,70.5
"Ours (numpy, r x lambda)",ml-100k,2,0.0,1.1222,57.5
"Ours (numpy, r x lambda)",ml-100k,1,1.8,1.0701,66.8
"Ours (numpy, r x lambda)",ml-100k,2,0.0001,1.1222,59.1
"Ours (numpy, r x lambda)",ml-100k,2,0.0005,1.1221,58.6
"Ours (numpy, r x lambda)",ml-100k,2,0.001,1.1221,56.7
"Ours (numpy, r x lambda)",ml-100k,1,2.0,1.0621,68.7
"Ours (numpy, r x lambda)",ml-100k,2,0.01,1.1207,57.5
"Ours (numpy, r x lambda)",ml-100k,2,0.005,1.1215,57.9
"Ours (numpy, r x lambda)",ml-100k,2,0.02,1.1187,58.1
"Ours (numpy, r x lambda)",ml-100k,2,0.03,1.1159,57.9
"Ours (numpy, r x lambda)",ml-100k,2,0.04,1.1125,59.7
"Ours (numpy, r x lambda)",ml-100k,2,0.045,1.1105,57.1
"Ours (numpy, r x lambda)",ml-100k,2,0.06,1.1033,56.2
"Ours (numpy, r x lambda)",ml-100k,2,0.05,1.1083,59.1
"Ours (numpy, r x lambda)",ml-100k,2,0.07,1.0974,59.6
"Ours (numpy, r x lambda)",ml-100k,2,0.08,1.0906,60.3
"Ours (numpy, r x lambda)",ml-100k,2,0.09,1.0833,59.1
"Ours (numpy, r x lambda)",ml-100k,2,0.1,1.0756,59.2
"Ours (numpy, r x lambda)",ml-100k,2,0.12,1.0603,59.4
"Ours (numpy, r x lambda)",ml-100k,2,0.15,1.0411,58.7
"Ours (numpy, r x lambda)",ml-100k,2,0.2,1.0186,59.3
"Ours (numpy, r x lambda)",ml-100k,2,0.3,0.9932,57.7
"Ours (numpy, r x lambda)",ml-100k,2,0.4,0.9795,58.2
"Ours (numpy, r x lambda)",ml-100k,2,0.5,0.9715,56.6
"Ours (numpy, r x lambda)",ml-100k,2,0.6,0.9667,57.2
"Ours (numpy, r x lambda)",ml-100k,2,0.7,0.9638,57.8
"Ours (numpy, r x lambda)",ml-100k,2,0.9,0.9627,57.6
"Ours (numpy, r x lambda)",ml-100k,2,0.8,0.9624,59.6
"Ours (numpy, r x lambda)",ml-100k,2,1.2,0.958,58.7
"Ours (numpy, r x lambda)",ml-100k,2,1.0,0.9596,60.6
"Ours (numpy, r x lambda)",ml-100k,2,1.6,0.957,56.2
"Ours (numpy, r x lambda)",ml-100k,2,1.4,0.9573,60.2
"Ours (numpy, r x lambda)",ml-100k,2,1.8,0.9572,59.8
"Ours (numpy, r x lambda)",ml-100k,2,2.0,0.958,58.5
"Ours (numpy, r x lambda)",ml-100k,3,0.0,1.129,61.0
"Ours (numpy, r x lambda)",ml-100k,3,0.0001,1.129,62.4
"Ours (numpy, r x lambda)",ml-100k,3,0.0005,1.129,59.9
"Ours (numpy, r x lambda)",ml-100k,3,0.001,1.129,61.8
"Ours (numpy, r x lambda)",ml-100k,3,0.005,1.1289,60.0
"Ours (numpy, r x lambda)",ml-100k,3,0.01,1.1287,60.8
"Ours (numpy, r x lambda)",ml-100k,3,0.02,1.1281,58.0
"Ours (numpy, r x lambda)",ml-100k,3,0.03,1.1274,57.3
"Ours (numpy, r x lambda)",ml-100k,3,0.04,1.1264,58.0
"Ours (numpy, r x lambda)",ml-100k,3,0.045,1.1258,59.2
"Ours (numpy, r x lambda)",ml-100k,3,0.05,1.1251,58.4
"Ours (numpy, r x lambda)",ml-100k,3,0.07,1.1211,57.3
"Ours (numpy, r x lambda)",ml-100k,3,0.06,1.1233,60.8
"Ours (numpy, r x lambda)",ml-100k,3,0.08,1.1183,59.4
"Ours (numpy, r x lambda)",ml-100k,3,0.09,1.1147,59.9
"Ours (numpy, r x lambda)",ml-100k,3,0.1,1.1103,60.6
"Ours (numpy, r x lambda)",ml-100k,3,0.12,1.0991,58.2
"Ours (numpy, r x lambda)",ml-100k,3,0.15,1.0796,57.5
"Ours (numpy, r x lambda)",ml-100k,3,0.2,1.0532,60.5
"Ours (numpy, r x lambda)",ml-100k,3,0.3,1.0167,57.7
"Ours (numpy, r x lambda)",ml-100k,3,0.4,0.9938,58.0
"Ours (numpy, r x lambda)",ml-100k,3,0.5,0.9799,57.7
"Ours (numpy, r x lambda)",ml-100k,3,0.6,0.971,58.1
"Ours (numpy, r x lambda)",ml-100k,3,0.7,0.9644,58.6
"Ours (numpy, r x lambda)",ml-100k,3,0.9,0.954,57.9
"Ours (numpy, r x lambda)",ml-100k,3,0.8,0.9585,59.5
"Ours (numpy, r x lambda)",ml-100k,3,1.0,0.9513,57.5
"Ours (numpy, r x lambda)",ml-100k,3,1.4,0.9475,57.8
"Ours (numpy, r x lambda)",ml-100k,3,1.2,0.9487,60.2
"Ours (numpy, r x lambda)",ml-100k,3,1.6,0.9469,58.2
"Ours (numpy, r x lambda)",ml-100k,3,2.0,0.9485,58.0
"Ours (numpy, r x lambda)",ml-100k,3,1.8,0.9476,58.7
"Ours (numpy, r x lambda)",ml-100k,4,0.0,1.1276,59.2
"Ours (numpy, r x lambda)",ml-100k,4,0.0001,1.1276,57.3
"Ours (numpy, r x lambda)",ml-100k,4,0.0005,1.1276,57.6
"Ours (numpy, r x lambda)",ml-100k,4,0.001,1.1275,56.3
"Ours (numpy, r x lambda)",ml-100k,4,0.01,1.1271,58.1
"Ours (numpy, r x lambda)",ml-100k,4,0.005,1.1274,59.0
"Ours (numpy, r x lambda)",ml-100k,4,0.02,1.1264,58.1
"Ours (numpy, r x lambda)",ml-100k,4,0.03,1.1254,58.5
"Ours (numpy, r x lambda)",ml-100k,4,0.045,1.1234,58.3
"Ours (numpy, r x lambda)",ml-100k,4,0.04,1.1241,59.2
"Ours (numpy, r x lambda)",ml-100k,4,0.06,1.1205,58.3
"Ours (numpy, r x lambda)",ml-100k,4,0.05,1.1225,59.2
"Ours (numpy, r x lambda)",ml-100k,4,0.07,1.1179,57.3
"Ours (numpy, r x lambda)",ml-100k,4,0.08,1.1147,60.2
"Ours (numpy, r x lambda)",ml-100k,4,0.09,1.1107,58.5
"Ours (numpy, r x lambda)",ml-100k,4,0.1,1.106,60.4
"Ours (numpy, r x lambda)",ml-100k,4,0.15,1.0712,59.4
"Ours (numpy, r x lambda)",ml-100k,4,0.12,1.0938,60.8
"Ours (numpy, r x lambda)",ml-100k,4,0.2,1.0376,59.7
"Ours (numpy, r x lambda)",ml-100k,4,0.3,0.9985,57.4
"Ours (numpy, r x lambda)",ml-100k,4,0.5,0.9683,57.5
"Ours (numpy, r x lambda)",ml-100k,4,0.4,0.9788,59.7
"Ours (numpy, r x lambda)",ml-100k,4,0.6,0.9629,57.1
"Ours (numpy, r x lambda)",ml-100k,4,0.7,0.9597,58.1
"Ours (numpy, r x lambda)",ml-100k,4,0.8,0.9572,56.8
"Ours (numpy, r x lambda)",ml-100k,4,0.9,0.9566,57.7
"Ours (numpy, r x lambda)",ml-100k,4,1.0,0.9555,58.5
"Ours (numpy, r x lambda)",ml-100k,4,1.2,0.9557,59.5
"Ours (numpy, r x lambda)",ml-100k,4,1.4,0.956,58.8
"Ours (numpy, r x lambda)",ml-100k,4,1.6,0.9562,57.8
"Ours (numpy, r x lambda)",ml-100k,4,1.8,0.9577,58.8
"Ours (numpy, r x lambda)",ml-100k,4,2.0,0.9588,58.4
"Ours (numpy, r x lambda)",ml-100k,5,0.0,1.1299,58.2
"Ours (numpy, r x lambda)",ml-100k,5,0.0001,1.1299,57.7
"Ours (numpy, r x lambda)",ml-100k,5,0.0005,1.1299,58.4
"Ours (numpy, r x lambda)",ml-100k,5,0.001,1.1299,58.9
"Ours (numpy, r x lambda)",ml-100k,5,0.005,1.1299,58.0
"Ours (numpy, r x lambda)",ml-100k,5,0.01,1.1298,58.6
"Ours (numpy, r x lambda)",ml-100k,5,0.02,1.1296,58.6
"Ours (numpy, r x lambda)",ml-100k,5,0.03,1.1293,59.6
"Ours (numpy, r x lambda)",ml-100k,5,0.04,1.1289,57.2
"Ours (numpy, r x lambda)",ml-100k,5,0.045,1.1286,57.3
"Ours (numpy, r x lambda)",ml-100k,5,0.05,1.1284,58.0
"Ours (numpy, r x lambda)",ml-100k,5,0.06,1.1278,59.3
"Ours (numpy, r x lambda)",ml-100k,5,0.07,1.127,58.1
"Ours (numpy, r x lambda)",ml-100k,5,0.08,1.126,60.0
"Ours (numpy, r x lambda)",ml-100k,5,0.09,1.1247,58.6
"Ours (numpy, r x lambda)",ml-100k,5,0.1,1.1231,58.6
"Ours (numpy, r x lambda)",ml-100k,5,0.12,1.1185,58.4
"Ours (numpy, r x lambda)",ml-100k,5,0.15,1.1063,58.5
"Ours (numpy, r x lambda)",ml-100k,5,0.2,1.0706,58.5
"Ours (numpy, r x lambda)",ml-100k,5,0.3,1.0138,57.8
"Ours (numpy, r x lambda)",ml-100k,5,0.4,0.9877,58.4
"Ours (numpy, r x lambda)",ml-100k,5,0.5,0.9759,58.7
"Ours (numpy, r x lambda)",ml-100k,5,0.6,0.9708,58.4
"Ours (numpy, r x lambda)",ml-100k,5,0.7,0.9679,59.3
"Ours (numpy, r x lambda)",ml-100k,5,0.8,0.9661,57.9
"Ours (numpy, r x lambda)",ml-100k,5,0.9,0.9658,57.4
"Ours (numpy, r x lambda)",ml-100k,5,1.0,0.9663,58.1
"Ours (numpy, r x lambda)",ml-100k,5,1.2,0.9677,59.6
"Ours (numpy, r x lambda)",ml-100k,5,1.4,nan,57.3
"Ours (numpy, r x lambda)",ml-100k,5,1.6,0.9727,59.3
"Ours (numpy, r x lambda)",ml-100k,5,1.8,0.9751,58.4
"Ours (numpy, r x lambda)",ml-100k,5,2.0,0.978,58.7
"Ours (numpy, r x lambda)",ml-100k,10,0.0,1.1264,58.3
"Ours (numpy, r x lambda)",ml-100k,10,0.0001,1.1264,58.4
"Ours (numpy, r x lambda)",ml-100k,10,0.0005,1.1263,59.3
"Ours (numpy, r x lambda)",ml-100k,10,0.005,1.126,58.7
"Ours (numpy, r x lambda)",ml-100k,10,0.001,1.1263,59.9
"Ours (numpy, r x lambda)",ml-100k,10,0.01,1.1254,58.7
"Ours (numpy, r x lambda)",ml-100k,10,0.02,1.1239,58.6
"Ours (numpy, r x lambda)",ml-100k,10,0.03,1.1217,59.2
"Ours (numpy, r x lambda)",ml-100k,10,0.04,1.1188,59.6
"Ours (numpy, r x lambda)",ml-100k,10,0.045,1.1171,60.3
"Ours (numpy, r x lambda)",ml-100k,10,0.05,1.1151,59.5
"Ours (numpy, r x lambda)",ml-100k,10,0.06,1.1105,59.4
"Ours (numpy, r x lambda)",ml-100k,10,0.07,1.105,60.0
"Ours (numpy, r x lambda)",ml-100k,10,0.08,1.0988,59.7
"Ours (numpy, r x lambda)",ml-100k,10,0.09,1.092,57.9
"Ours (numpy, r x lambda)",ml-100k,10,0.15,1.0577,58.0
"Ours (numpy, r x lambda)",ml-100k,10,0.12,1.0728,59.7
"Ours (numpy, r x lambda)",ml-100k,10,0.1,1.0852,60.8
"Ours (numpy, r x lambda)",ml-100k,10,0.2,1.0377,58.8
"Ours (numpy, r x lambda)",ml-100k,10,0.3,1.0116,59.3
"Ours (numpy, r x lambda)",ml-100k,10,0.4,1.0008,57.6
"Ours (numpy, r x lambda)",ml-100k,10,0.5,0.998,57.6
"Ours (numpy, r x lambda)",ml-100k,10,0.6,0.9989,59.4
"Ours (numpy, r x lambda)",ml-100k,10,0.7,1.0019,59.2
"Ours (numpy, r x lambda)",ml-100k,10,0.8,nan,57.6
"Ours (numpy, r x lambda)",ml-100k,10,0.9,1.0115,60.3
"Ours (numpy, r x lambda)",ml-100k,10,1.0,nan,58.7
"Ours (numpy, r x lambda)",ml-100k,10,1.2,nan,57.4
"Ours (numpy, r x lambda)",ml-100k,10,1.6,1.0306,58.4
"Ours (numpy, r x lambda)",ml-100k,10,1.4,1.0286,59.9
"Ours (numpy, r x lambda)",ml-100k,10,1.8,1.0367,58.0
