method,dataset,r,lam,val_rmse,seconds
"Ours (numpy, r x lambda)",amazon-games,100,0.045,1.1827,145.9
"Ours (numpy, r x lambda)",amazon-games,100,0.05,1.1826,144.3
"Ours (numpy, r x lambda)",amazon-games,100,0.06,1.1826,146.0
"Ours (numpy, r x lambda)",amazon-games,100,0.07,1.1825,146.0
"Ours (numpy, r x lambda)",amazon-games,100,0.08,1.1824,144.6
"Ours (numpy, r x lambda)",amazon-games,100,0.09,1.1823,145.2
"Ours (numpy, r x lambda)",amazon-games,100,0.1,1.1823,145.2
"Ours (numpy, r x lambda)",amazon-games,100,0.12,1.1821,143.3
"Ours (numpy, r x lambda)",amazon-games,100,0.15,1.182,144.7
"Ours (numpy, r x lambda)",amazon-games,100,0.2,1.1819,145.7
"Ours (numpy, r x lambda)",amazon-games,100,0.3,1.1819,145.6
"Ours (numpy, r x lambda)",amazon-games,100,0.4,1.1822,144.7
"Ours (numpy, r x lambda)",amazon-games,100,0.5,nan,143.8
