method,dataset,r,lam,val_rmse,seconds
"Ours (numpy, r x lambda)",douban,3,0.05,0.8888,420.4
"Ours (numpy, r x lambda)",douban,4,0.0,0.9613,419.2
"Ours (numpy, r x lambda)",douban,4,0.0005,0.9608,418.2
"Ours (numpy, r x lambda)",douban,4,0.001,0.9603,418.4
"Ours (numpy, r x lambda)",douban,4,0.005,0.9544,414.2
"Ours (numpy, r x lambda)",douban,4,0.01,0.943,415.7
"Ours (numpy, r x lambda)",douban,4,0.02,0.9158,417.8
"Ours (numpy, r x lambda)",douban,4,0.03,0.8935,418.1
"Ours (numpy, r x lambda)",douban,4,0.04,0.877,408.6
"Ours (numpy, r x lambda)",douban,4,0.045,0.8703,418.8
"Ours (numpy, r x lambda)",douban,4,0.05,0.8642,418.0
"Ours (numpy, r x lambda)",douban,5,0.0,0.9772,414.4
"Ours (numpy, r x lambda)",douban,5,0.0005,0.9771,415.7
"Ours (numpy, r x lambda)",douban,5,0.0001,0.9772,419.7
"Ours (numpy, r x lambda)",douban,5,0.001,0.9769,413.6
"Ours (numpy, r x lambda)",douban,5,0.005,0.975,419.0
"Ours (numpy, r x lambda)",douban,5,0.01,0.9707,418.9
"Ours (numpy, r x lambda)",douban,5,0.02,0.9543,420.8
"Ours (numpy, r x lambda)",douban,5,0.03,0.9291,417.0
"Ours (numpy, r x lambda)",douban,5,0.045,0.8955,415.4
"Ours (numpy, r x lambda)",douban,5,0.04,0.9053,422.4
"Ours (numpy, r x lambda)",douban,5,0.05,0.8871,442.6
"Ours (numpy, r x lambda)",douban,10,0.0001,0.9753,447.7
"Ours (numpy, r x lambda)",douban,10,0.0,0.9753,457.4
"Ours (numpy, r x lambda)",douban,10,0.0005,0.9751,448.9
"Ours (numpy, r x lambda)",douban,10,0.001,0.9749,447.4
"Ours (numpy, r x lambda)",douban,10,0.005,0.9724,458.3
"Ours (numpy, r x lambda)",douban,10,0.01,0.9669,436.6
"Ours (numpy, r x lambda)",douban,10,0.03,0.92,430.4
"Ours (numpy, r x lambda)",douban,10,0.02,0.947,434.9
"Ours (numpy, r x lambda)",douban,10,0.04,0.896,430.0
"Ours (numpy, r x lambda)",douban,10,0.045,0.8858,428.7
"Ours (numpy, r x lambda)",douban,10,0.05,0.8765,435.1
"Ours (numpy, r x lambda)",douban,20,0.0,0.9793,438.0
"Ours (numpy, r x lambda)",douban,20,0.0005,0.9792,434.5
"Ours (numpy, r x lambda)",douban,20,0.005,0.9775,433.0
"Ours (numpy, r x lambda)",douban,20,0.0001,0.9793,439.1
"Ours (numpy, r x lambda)",douban,20,0.001,0.9791,442.4
"Ours (numpy, r x lambda)",douban,20,0.01,0.974,442.3
"Ours (numpy, r x lambda)",douban,20,0.02,0.9598,412.3
"Ours (numpy, r x lambda)",douban,20,0.03,0.9355,406.8
